t=2026-07-19T22:07:06+0700 lvl=info msg="no configuration paths supplied"
t=2026-07-19T22:07:06+0700 lvl=info msg="using configuration at default config path" path=/home/ali-juelon/.config/ngrok/ngrok.yml
t=2026-07-19T22:07:06+0700 lvl=info msg="open config file" path=/home/ali-juelon/.config/ngrok/ngrok.yml err=nil
t=2026-07-19T22:07:06+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-19T22:07:06+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-19T22:07:07+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-19T22:07:07+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-20T01:46:53+0700 lvl=info msg="join connections" obj=join id=2792c5d744dd l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:46:53+0700 lvl=info msg="join connections" obj=join id=d31adb438ffb l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:46:54+0700 lvl=info msg="join connections" obj=join id=7873ba04b3a4 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:46:55+0700 lvl=info msg="join connections" obj=join id=951723bee895 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=39bd545e48ef l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=0b1a0fbb5268 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=8a98a47d01c2 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=f78ea47bd006 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=45bfdf824d41 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=2f3db8518667 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:03+0700 lvl=info msg="join connections" obj=join id=1d64cb422faa l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:05+0700 lvl=info msg="join connections" obj=join id=1b4814b774b3 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:47:05+0700 lvl=info msg="join connections" obj=join id=3de608686449 l=127.0.0.1:8001 r=180.241.244.242:56682
t=2026-07-20T01:48:45+0700 lvl=info msg="join connections" obj=join id=bfaff514bb09 l=127.0.0.1:8001 r=180.241.244.242:37646
t=2026-07-20T01:48:46+0700 lvl=info msg="join connections" obj=join id=5a48aeea70ec l=127.0.0.1:8001 r=180.241.244.242:37646
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=2f98af5730fe l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=c4d7e6e80483 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=435672ebcdf4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=da358d688bbe l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=253ebf46eb73 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=4638ba4493a8 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:15+0700 lvl=info msg="join connections" obj=join id=2dc4a5af19a0 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:16+0700 lvl=info msg="join connections" obj=join id=ccf730994ca2 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:17+0700 lvl=info msg="join connections" obj=join id=87324e724e99 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:17+0700 lvl=info msg="join connections" obj=join id=1108b2b050d4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:17+0700 lvl=info msg="join connections" obj=join id=203400b73f27 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:19+0700 lvl=info msg="join connections" obj=join id=f446703d9ef4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=5cf84a927c9d l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=2e70542f8b8a l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=46c6f82a48d9 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=3049329d46d3 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=7f9baa8049d6 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=e82c059f5e08 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=2d29342fca2a l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=9aeb3f6bc293 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=93551ec394f8 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=ac6fd9027e33 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:20+0700 lvl=info msg="join connections" obj=join id=2d43560d5f6d l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:21+0700 lvl=info msg="join connections" obj=join id=28af53e9bf1c l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:31+0700 lvl=info msg="join connections" obj=join id=9d9350ff195a l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:32+0700 lvl=info msg="join connections" obj=join id=f8019edbcf5b l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:32+0700 lvl=info msg="join connections" obj=join id=51c586625d85 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:33+0700 lvl=info msg="join connections" obj=join id=6329820e5a80 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:33+0700 lvl=info msg="join connections" obj=join id=c90ddc319cbd l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:33+0700 lvl=info msg="join connections" obj=join id=c5ee94ba97e3 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:43+0700 lvl=info msg="join connections" obj=join id=a510a96d0436 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:44+0700 lvl=info msg="join connections" obj=join id=b39929827468 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:44+0700 lvl=info msg="join connections" obj=join id=3b8da7e704f5 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:44+0700 lvl=info msg="join connections" obj=join id=bf088d10aafd l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:51+0700 lvl=info msg="join connections" obj=join id=a43429c0cec2 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:51+0700 lvl=info msg="join connections" obj=join id=d488e03f2ba4 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:50:51+0700 lvl=info msg="join connections" obj=join id=32e56b971169 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:01+0700 lvl=info msg="join connections" obj=join id=d2f9ea4dde44 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:07+0700 lvl=info msg="join connections" obj=join id=4b4a0c3b40a0 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:08+0700 lvl=info msg="join connections" obj=join id=093601ba16ec l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:08+0700 lvl=info msg="join connections" obj=join id=4ee01df34966 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:28+0700 lvl=info msg="join connections" obj=join id=5a74f64b0b6a l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:29+0700 lvl=info msg="join connections" obj=join id=7daf4683d140 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:34+0700 lvl=info msg="join connections" obj=join id=1d0fc55f47b2 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:35+0700 lvl=info msg="join connections" obj=join id=1eb99c734da7 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:39+0700 lvl=info msg="join connections" obj=join id=b126ef56bb1b l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=7b946c9cbc8c l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=59fd1cf760fc l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=2e435f72f25b l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=c5a8d1a2075b l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=15ec4d4206ef l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=abd30f771219 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=2dd4ad50bfd5 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
t=2026-07-20T01:51:40+0700 lvl=info msg="join connections" obj=join id=1a8e7acaed98 l=127.0.0.1:8001 r=[2001:448a:1041:40f9:783c:8b86:3817:8932]:49806
